ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Wine,Portugal Wine,Portugal Red Wine,PORTUGAL,114322,DOURO - PORCA DE MURCA,5601109211127,0.75,1,13,12.99,0
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,119628,CABERNET SAUVIGNON - LINDEMANS BIN 45,12354087705,0.75,1,13,11.99,0
Spirits,Whisky,Blended Scotch Whisky,UNITED KINGDOM,129031,GRANTS - FAMILY RESERVE,5010327000305,1.14,1,40,33.49,NA
Spirits,Whisky,Canadian Whisky,CANADA,1305,ALBERTA PREMIUM - CANADIAN RYE,777680001916,1.14,1,40,32.49,NA
Wine,Sake,Japan Sake,JAPAN,1347,TOSHIMORI SHUZO - BIZEN JUNMAI GINJO PREMIUM SAKE,4985570102124,0.3,1,15.5,14.99,NA
Wine,France Wine,France Red Wine,FRANCE,146555,CHATEAU LA MISSION HAUT BRION 2009,,0.75,1,13,1599,0
Spirits,Gin,Other Gin,NETHERLANDS,1594,BOOMSMA  - YOUNG GENEVER JONGE,791774100620,0.75,1,40,26.99,0
Wine,USA Wine,USA Sparkling Wine,UNITED STATES OF AMERICA,168310,KORBEL - BRUT,84704091328,0.75,1,11,13.99,0
Wine,France Wine,France Red Wine,FRANCE,168864,CHATEAU LAFITE ROTHSCHILD 1998,3419466181760,0.75,1,13,2000,0
Spirits,Liqueurs,Nut Liqueurs,ITALY,169441,FRANGELICO,8004160681309,0.75,1,20,26.49,NA
Wine,Canada - BC,Canada - BC Rose Wine,CANADA,171785,DIABOLICA - ROSE 2015,776545500991,0.75,1,12,14.99,2
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,172031,PHILLIPS - LONGBOAT CHOCOLATE PORTER,626990036630,0.65,1,5.5,4.99,NA
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,178251,SONOMA COUNTY RED - RIDGE GEYSERVILLE 2013,744442301003,0.75,1,14.6,58.99,0
Wine,France Wine,France Fruit and Dessert Wine,FRANCE,184838,CHATEAU DE FARGUES 2010,,0.375,1,14,86.99,10
Wine,France Wine,France Red Wine,FRANCE,186197,CHATEAU CANON 2010,3277035200904,0.75,1,15,219.99,0
Spirits,Grape and Fruit Brandy,Cognac,FRANCE,1925,COURVOISIER - V.S.,3049197110236,0.75,1,40,49.99,NA
Wine,Canada - BC,Canada - BC White Wine,CANADA,201384,JACKSON TRIGGS PROPRIETOR'S SELECTION SAUVIGNON BLANC,63657029626,4,1,12.5,34.49,0
Wine,Spain Wine,Spain Red Wine,SPAIN,205518,CALATAYUD GARNACHA  - PABLO OLD VINE,5060137512130,0.75,1,14,14.49,0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,CANADA,207431,SLEEMAN - ORIGINAL DRAUGHT CAN,56910201150,0.355,15,5,21.29,NA
Spirits,Vodka,Straight Vodka,CANADA,240,SMIRNOFF - RED LABEL,776103000246,0.375,1,40,11.99,NA
Wine,Spain Wine,Spain Red Wine,SPAIN,260984,JUMILLA - EL NIDO 02/07,8437005068094,0.75,1,15.5,179.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,272781,SUMAC RIDGE - PRIVATE RESERVE MERLOT 2014,778876013973,0.75,1,14.5,13.29,0
Beer,Import Beer,Europe Beer,IRELAND,296244,GUINNESS PUB DRAUGHT CAN,83820123609,0.44,4,4.1,10.29,NA
Wine,Italy Wine,Italy Red Wine,ITALY,311019,BAROLO - BORGOGNO LISTE 2010,626990170846,0.75,1,14.5,69.99,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,322958,CALIFORNIA RED - FRANCISCAN,48162001589,4,1,11.5,29.99,1
Wine,Canada - BC,Canada - BC White Wine,CANADA,333880,CALLIOPE - FIGURE 8 WHITE 2015,688229105135,0.75,1,13,13.99,0
Spirits,Grape and Fruit Brandy,Cognac,FRANCE,349076,D'USSE -  V.S.O.P.,80480002923,0.75,1,40,89.99,NA
Beer,Import Beer,Europe Beer,BELGIUM,357236,CHIMAY BLUE CAP,5410908000036,0.33,1,9,5.49,NA
Wine,France Wine,France Red Wine,FRANCE,378695,CHATEAUNEUF DU PAPE - BEAUCASTEL 2004,633135054107,1.5,1,14.5,166.99,0
Wine,Germany Wine,Germany White Wine,GERMANY,381400,RIESLING KABINETT - DR LOOSEN WEHLEN SONNENUHR  09/11,183103000082,0.75,1,7.5,29.99,5
Wine,Spain Wine,Spain Red Wine,SPAIN,384040,RIBERA DEL DUERO CRIANZA - TORRES CELESTE 11/12,8410113003508,0.75,1,14,25.49,0
Wine,New Zealand Wine,New Zealand White Wine,NEW ZEALAND,389528,SAUVIGNON BLANC - DOG POINT MARLBOROUGH 14/15,9421018110016,0.75,1,13.5,29.99,0
Spirits,Rum,Amber Rum,JAMAICA,390260,APPLETON ESTATE - V/X,621705111756,1.75,1,40,54.49,0
Wine,France Wine,France Red Wine,FRANCE,410613,BEAUNE 1ER LES COUCHEREAUX - DOM HERITIERS JADOT 2012,3535927811202,0.75,1,13.5,74.99,0
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,414987,CABERNET SAUVIGNON - PENFOLDS BIN 407 2013,12354071476,0.75,1,14.5,47.99,0
Refreshment Beverages,Cider,Import Cider,SWEDEN,418657,REKORDERLIG - PASSION FRUIT,7311100421606,0.5,1,4.5,3.29,NA
Spirits,Tequila,Blanco/Silver Tequila,MEXICO,438960,CASAMIGOS - BLANCO,652341401031,0.75,1,40,58.99,NA
Spirits,Whisky,Blended Scotch Whisky,UNITED KINGDOM,4465,TEACHERS - HIGHLAND CREAM,5010093226008,0.75,1,40,21.49,NA
